Run,Center.Name,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample.Name,BioProject,create_date,AvgSpotLen,Bases,Bytes,tissue,Library.Name,geo_loc_name_country,geo_loc_name_country_continent,BioSampleModel,geo_loc_name,Cultivar,dev_stage,Age,isolate,Ecotype,treatment,sample_type,replicate,Collection_Date,Temp,source_name,collected_by,BIOMATERIAL_PROVIDER,genotype,Sample_name,AssemblyName,Collection_time,external_id,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Submitter_Id,intentional_duplicate..run.,growth_protocol,Developmental_stage,disease,isolation_source,Broker_name,Organism_part,Experimental_Factor._sampling_time..exp.,growth_condition,INSDC_center_alias,Scientific_Name,ENA.FIRST.PUBLIC,ENA.LAST.UPDATE,Host,lat_lon,estimated_size,isolation_and_growth_condition,number_of_replicons,plant_developmental_stage,plant_growth_medium,plant_structure,ID,PHENOTYPE,Library,timepoint,lab_host,Development_stage,agent,Group,inbred_line,time_point,strain,population,env_broad_scale,env_local_scale,env_medium,host_tissue_sampled,cell_line,growth_facility,light_regimen,organism_common_name,plant_treatment,ploidy,Sample_id,soil_ph,subspecific_genetic_lineage_name,subspecific_genetic_lineage_rank,watering_regimen,DPI,Host_Age,host_body_habitat,host_last_meal,host_life_stage,variety,tissue_type,Biosample_attributes,isol_growth_condt,Label,replication,Tissue,Sample.Name,Library.Name,Cultivar,dev_stage,Age,genotype,Sample_name,Scientific_Name,variety,tissue,Tissue,Tissue_type,BioProject,Variety,Condition,Study_type,Variety_type,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name
SRR6122622,SEOUL NATIONAL UNIVERSITY,SRX3235342,Illumina HiSeq 2000,PAIRED,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2018,PLMG-3,PRJNA223222,2017,51,197324457,190073051,Placenta,PLMG-3,Mexico,North America,Plant,NA,CM334-12,Mature green,36 days post inoculation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Placenta,PLMG-3,PLMG-3,CM334-12,Mature green,36 days post inoculation,NA,NA,NA,NA,Placenta,Placenta,,PRJNA223222,,,,,Mexico,North America,NA
SRR6122623,SEOUL NATIONAL UNIVERSITY,SRX3235341,Illumina HiSeq 2000,PAIRED,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2018,PLMG-2,PRJNA223222,2017,51,222634737,212940037,Placenta,PLMG-2,Mexico,North America,Plant,NA,CM334-11,Mature green,36 days post inoculation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Placenta,PLMG-2,PLMG-2,CM334-11,Mature green,36 days post inoculation,NA,NA,NA,NA,Placenta,Placenta,,PRJNA223222,,,,,Mexico,North America,NA
SRR6122624,SEOUL NATIONAL UNIVERSITY,SRX3235340,Illumina HiSeq 2000,PAIRED,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2018,PLB-2,PRJNA223222,2017,51,231108795,220980528,Placenta,PLB-2,Mexico,North America,Plant,NA,CM334-14,Breaker,38 days post inoculation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Placenta,PLB-2,PLB-2,CM334-14,Breaker,38 days post inoculation,NA,NA,NA,NA,Placenta,Placenta,,PRJNA223222,,,,,Mexico,North America,NA
SRR6122625,SEOUL NATIONAL UNIVERSITY,SRX3235339,Illumina HiSeq 2000,PAIRED,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2018,PLB-1,PRJNA223222,2017,51,255353532,244725561,Placenta,PLB-1,Mexico,North America,Plant,NA,CM334-13,Breaker,38 days post inoculation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Placenta,PLB-1,PLB-1,CM334-13,Breaker,38 days post inoculation,NA,NA,NA,NA,Placenta,Placenta,,PRJNA223222,,,,,Mexico,North America,NA
SRR6122626,SEOUL NATIONAL UNIVERSITY,SRX3235338,Illumina HiSeq 2000,PAIRED,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2018,PLB10-2,PRJNA223222,2017,51,272975103,260781649,Placenta,PLB10-2,Mexico,North America,Plant,NA,CM334-20,Breaker plus10,48 days post inoculation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Placenta,PLB10-2,PLB10-2,CM334-20,Breaker plus10,48 days post inoculation,NA,NA,NA,NA,Placenta,Placenta,,PRJNA223222,,,,,Mexico,North America,NA
SRR6122627,SEOUL NATIONAL UNIVERSITY,SRX3235337,Illumina HiSeq 2000,PAIRED,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2018,PLB10-1,PRJNA223222,2017,51,280350417,268330859,Placenta,PLB10-1,Mexico,North America,Plant,NA,CM334-19,Breaker plus10,48 days post inoculation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Placenta,PLB10-1,PLB10-1,CM334-19,Breaker plus10,48 days post inoculation,NA,NA,NA,NA,Placenta,Placenta,,PRJNA223222,,,,,Mexico,North America,NA
SRR6122634,SEOUL NATIONAL UNIVERSITY,SRX3235330,Illumina HiSeq 2500,PAIRED,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2018,PepMov-2D-3,PRJNA223222,2017,202,1789099456,1117642618,Leaves,PepMov-2D-3,Mexico,North America,Plant,NA,CM334-74,Four-week,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leaf,PepMov-2D-3,PepMov-2D-3,CM334-74,Four-week,,NA,NA,NA,NA,Leaves,Leaf,,PRJNA223222,,,,,Mexico,North America,NA
SRR6122635,SEOUL NATIONAL UNIVERSITY,SRX3235329,Illumina HiSeq 2500,PAIRED,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2018,PepMov-2D-2,PRJNA223222,2017,202,2055451808,1284936930,Leaves,PepMov-2D-2,Mexico,North America,Plant,NA,CM334-73,Four-week,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leaf,PepMov-2D-2,PepMov-2D-2,CM334-73,Four-week,,NA,NA,NA,NA,Leaves,Leaf,,PRJNA223222,,,,,Mexico,North America,NA
SRR6122636,SEOUL NATIONAL UNIVERSITY,SRX3235328,Illumina HiSeq 2500,PAIRED,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2018,PepMov-2D-1,PRJNA223222,2017,202,1808966156,1122832564,Leaves,PepMov-2D-1,Mexico,North America,Plant,NA,CM334-72,Four-week,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leaf,PepMov-2D-1,PepMov-2D-1,CM334-72,Four-week,,NA,NA,NA,NA,Leaves,Leaf,,PRJNA223222,,,,,Mexico,North America,NA
SRR6122637,SEOUL NATIONAL UNIVERSITY,SRX3235327,Illumina HiSeq 2500,PAIRED,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2018,PepMov-1D-3,PRJNA223222,2017,202,1143047704,708633389,Leaves,PepMov-1D-3,Mexico,North America,Plant,NA,CM334-71,Four-week,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leaf,PepMov-1D-3,PepMov-1D-3,CM334-71,Four-week,,NA,NA,NA,NA,Leaves,Leaf,,PRJNA223222,,,,,Mexico,North America,NA
SRR6122638,SEOUL NATIONAL UNIVERSITY,SRX3235326,Illumina HiSeq 2500,PAIRED,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2018,PepMov-Up-1,PRJNA223222,2017,202,1467605750,915128343,Leaves,PepMov-Up-1,Mexico,North America,Plant,NA,CM334-78,Four-week,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leaf,PepMov-Up-1,PepMov-Up-1,CM334-78,Four-week,,NA,NA,NA,NA,Leaves,Leaf,,PRJNA223222,,,,,Mexico,North America,NA
SRR6122639,SEOUL NATIONAL UNIVERSITY,SRX3235325,Illumina HiSeq 2500,PAIRED,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2018,PepMov-3D-3,PRJNA223222,2017,202,796852428,494766328,Leaves,PepMov-3D-3,Mexico,North America,Plant,NA,CM334-77,Four-week,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leaf,PepMov-3D-3,PepMov-3D-3,CM334-77,Four-week,,NA,NA,NA,NA,Leaves,Leaf,,PRJNA223222,,,,,Mexico,North America,NA
SRR6122640,SEOUL NATIONAL UNIVERSITY,SRX3235324,Illumina HiSeq 2500,PAIRED,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2018,PepMov-3D-2,PRJNA223222,2017,202,1233454622,768678069,Leaves,PepMov-3D-2,Mexico,North America,Plant,NA,CM334-76,Four-week,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leaf,PepMov-3D-2,PepMov-3D-2,CM334-76,Four-week,,NA,NA,NA,NA,Leaves,Leaf,,PRJNA223222,,,,,Mexico,North America,NA
SRR6122641,SEOUL NATIONAL UNIVERSITY,SRX3235323,Illumina HiSeq 2500,PAIRED,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2018,PepMov-3D-1,PRJNA223222,2017,202,1628691862,1014263006,Leaves,PepMov-3D-1,Mexico,North America,Plant,NA,CM334-75,Four-week,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leaf,PepMov-3D-1,PepMov-3D-1,CM334-75,Four-week,,NA,NA,NA,NA,Leaves,Leaf,,PRJNA223222,,,,,Mexico,North America,NA
SRR6122642,SEOUL NATIONAL UNIVERSITY,SRX3235322,Illumina HiSeq 2500,PAIRED,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2018,TMV-P0-30m-2,PRJNA223222,2017,202,2052472712,1275401722,Leaves,TMV-P0-30m-2,Mexico,North America,Plant,NA,CM334-80,Four-week,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leaf,TMV-P0-30m-2,TMV-P0-30m-2,CM334-80,Four-week,,NA,NA,NA,NA,Leaves,Leaf,,PRJNA223222,,,,,Mexico,North America,NA
SRR6122643,SEOUL NATIONAL UNIVERSITY,SRX3235321,Illumina HiSeq 2500,PAIRED,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2018,TMV-P0-30m-1,PRJNA223222,2017,202,2069164780,1284734384,Leaves,TMV-P0-30m-1,Mexico,North America,Plant,NA,CM334-79,Four-week,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leaf,TMV-P0-30m-1,TMV-P0-30m-1,CM334-79,Four-week,,NA,NA,NA,NA,Leaves,Leaf,,PRJNA223222,,,,,Mexico,North America,NA
SRR6122650,SEOUL NATIONAL UNIVERSITY,SRX3235314,Illumina HiSeq 2500,PAIRED,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2018,TMV-P0-4h-2,PRJNA223222,2017,202,503037368,311617306,Leaves,TMV-P0-4h-2,Mexico,North America,Plant,NA,CM334-83,Four-week,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leaf,TMV-P0-4h-2,TMV-P0-4h-2,CM334-83,Four-week,,NA,NA,NA,NA,Leaves,Leaf,,PRJNA223222,,,,,Mexico,North America,NA
SRR6122651,SEOUL NATIONAL UNIVERSITY,SRX3235313,Illumina HiSeq 2500,PAIRED,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2018,TMV-P0-4h-3,PRJNA223222,2017,202,1614518936,1000893925,Leaves,TMV-P0-4h-3,Mexico,North America,Plant,NA,CM334-84,Four-week,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leaf,TMV-P0-4h-3,TMV-P0-4h-3,CM334-84,Four-week,,NA,NA,NA,NA,Leaves,Leaf,,PRJNA223222,,,,,Mexico,North America,NA
SRR6122652,SEOUL NATIONAL UNIVERSITY,SRX3235312,Illumina HiSeq 2500,PAIRED,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2018,TMV-P0-30m-3,PRJNA223222,2017,202,3235819012,2013099185,Leaves,TMV-P0-30m-3,Mexico,North America,Plant,NA,CM334-81,Four-week,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leaf,TMV-P0-30m-3,TMV-P0-30m-3,CM334-81,Four-week,,NA,NA,NA,NA,Leaves,Leaf,,PRJNA223222,,,,,Mexico,North America,NA
SRR6122653,SEOUL NATIONAL UNIVERSITY,SRX3235311,Illumina HiSeq 2500,PAIRED,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2018,TMV-P0-4h-1,PRJNA223222,2017,202,900087558,557230520,Leaves,TMV-P0-4h-1,Mexico,North America,Plant,NA,CM334-82,Four-week,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leaf,TMV-P0-4h-1,TMV-P0-4h-1,CM334-82,Four-week,,NA,NA,NA,NA,Leaves,Leaf,,PRJNA223222,,,,,Mexico,North America,NA
SRR6122654,SEOUL NATIONAL UNIVERSITY,SRX3235310,Illumina HiSeq 2500,PAIRED,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2018,PepMov-1D-1,PRJNA223222,2017,202,971154794,603201305,Leaves,PepMov-1D-1,Mexico,North America,Plant,NA,CM334-69,Four-week,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leaf,PepMov-1D-1,PepMov-1D-1,CM334-69,Four-week,,NA,NA,NA,NA,Leaves,Leaf,,PRJNA223222,,,,,Mexico,North America,NA
SRR6122655,SEOUL NATIONAL UNIVERSITY,SRX3235309,Illumina HiSeq 2500,PAIRED,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2018,PepMov-1D-2,PRJNA223222,2017,202,659244170,409140334,Leaves,PepMov-1D-2,Mexico,North America,Plant,NA,CM334-70,Four-week,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leaf,PepMov-1D-2,PepMov-1D-2,CM334-70,Four-week,,NA,NA,NA,NA,Leaves,Leaf,,PRJNA223222,,,,,Mexico,North America,NA
SRR6122656,SEOUL NATIONAL UNIVERSITY,SRX3235308,Illumina HiSeq 2500,PAIRED,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2018,PepMov-30m-3,PRJNA223222,2017,202,1653078514,1027467774,Leaves,PepMov-30m-3,Mexico,North America,Plant,NA,CM334-65,Four-week,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leaf,PepMov-30m-3,PepMov-30m-3,CM334-65,Four-week,,NA,NA,NA,NA,Leaves,Leaf,,PRJNA223222,,,,,Mexico,North America,NA
SRR6122657,SEOUL NATIONAL UNIVERSITY,SRX3235307,Illumina HiSeq 2500,PAIRED,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2018,PepMov-4h-1,PRJNA223222,2017,202,698691134,434359212,Leaves,PepMov-4h-1,Mexico,North America,Plant,NA,CM334-66,Four-week,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leaf,PepMov-4h-1,PepMov-4h-1,CM334-66,Four-week,,NA,NA,NA,NA,Leaves,Leaf,,PRJNA223222,,,,,Mexico,North America,NA
SRR6122658,SEOUL NATIONAL UNIVERSITY,SRX3235306,Illumina HiSeq 2500,PAIRED,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2018,PepMov-4h-2,PRJNA223222,2017,202,996641942,623425262,Leaves,PepMov-4h-2,Mexico,North America,Plant,NA,CM334-67,Four-week,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leaf,PepMov-4h-2,PepMov-4h-2,CM334-67,Four-week,,NA,NA,NA,NA,Leaves,Leaf,,PRJNA223222,,,,,Mexico,North America,NA
SRR6122659,SEOUL NATIONAL UNIVERSITY,SRX3235305,Illumina HiSeq 2500,PAIRED,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2018,PepMov-4h-3,PRJNA223222,2017,202,357787450,222033971,Leaves,PepMov-4h-3,Mexico,North America,Plant,NA,CM334-68,Four-week,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leaf,PepMov-4h-3,PepMov-4h-3,CM334-68,Four-week,,NA,NA,NA,NA,Leaves,Leaf,,PRJNA223222,,,,,Mexico,North America,NA
